,Hotel_Name,Reviewer_Nationality,Review_Date,Reviewer_Score
115218,Henry VIII, United Kingdom ,6/19/2017,10.0
300887,Grange City Hotel, United Kingdom ,2/16/2016,7.9
339704,WestCord Fashion Hotel Amsterdam, Finland ,5/6/2017,7.5
409142,Starhotels Anderson, United Kingdom ,5/21/2017,9.6
506022,Park Plaza Westminster Bridge London, United Arab Emirates ,5/18/2017,8.8
82513,Amarante Champs Elys es, United Kingdom ,2/18/2017,7.9
43291,1K Hotel, Australia ,9/16/2015,8.8
283601,The Capital, United States of America ,8/5/2016,6.7
244357,Shaftesbury Metropolis London Hyde Park, United Kingdom ,6/2/2016,7.1
79613,Courthouse Hotel London, United Kingdom ,12/16/2016,8.3
27805,The Grosvenor, United Arab Emirates ,9/20/2015,7.9
483170,Leonardo Hotel Milan City Center, Romania ,7/28/2016,10.0
252703,TheWesley, United Kingdom ,5/13/2016,9.6
428277,Austria Trend Hotel Savoyen Vienna, Ireland ,1/12/2017,9.2
36400,Novotel London Waterloo, United States of America ,1/24/2017,5.8
186820,Villa Panth on, United Kingdom ,12/26/2015,8.3
373424,Expo Hotel Barcelona, Canada ,12/3/2016,8.8
183262,St James Court A Taj Hotel London, United Kingdom ,1/7/2017,9.2
38303,Batty Langley s, United Kingdom ,6/27/2017,10.0
395807,Silken Concordia, United Kingdom ,1/29/2017,5.4
9248,Grand Royale London Hyde Park, United Kingdom ,3/15/2016,6.3
218276,Hotel Royal Elys es, United States of America ,2/11/2017,6.7
297920,Ayre Hotel Caspe, United Kingdom ,6/1/2017,7.1
98179,Radisson Blu Edwardian Mercer Street, Kuwait ,12/2/2016,9.6
184568,St James Court A Taj Hotel London, United Kingdom ,6/16/2016,9.6
276849,Novotel Barcelona City, Spain ,5/3/2017,6.3
50995,Hotel Indigo London Tower Hill, Israel ,1/26/2016,9.2
275411,The Levante Parliament A Design Hotel, Australia ,3/28/2017,8.8
408755,Best Western Plus Hotel Galles, Norway ,7/31/2016,9.6
496296,Hotel degli Arcimboldi, Italy ,9/19/2016,3.8
196290,The Premier Notting Hill, New Zealand ,6/26/2016,8.8
338502,Hotel 55, United Kingdom ,9/3/2015,4.6
221039,Amarante Beau Manoir, Switzerland ,10/27/2015,5.0
218832,Park Plaza London Waterloo, Belgium ,4/8/2017,10.0
450202,Simm s Hotel, Iran ,12/27/2015,9.2
277043,Novotel Barcelona City, Estonia ,6/6/2016,10.0
282454,Hotel Ronda Lesseps, India ,6/13/2017,8.3
363210,Hilton London Wembley, United Kingdom ,11/24/2015,9.2
10471,Grand Royale London Hyde Park, United Kingdom ,7/7/2016,7.9
273197,Axel Hotel Barcelona Urban Spa Adults Only, Austria ,12/5/2016,8.3
365270,Lancaster London, United Kingdom ,2/16/2016,10.0
22657,W London Leicester Square, United Arab Emirates ,9/23/2016,9.6
58612,M by Montcalm Shoreditch London Tech City, United Kingdom ,6/27/2017,10.0
406858,Rosa Grand Milano Starhotels Collezione, Australia ,7/3/2016,7.9
51401,H tel Madison by MH, Philippines ,5/3/2017,10.0
185975,Shaftesbury Suites London Marble Arch, United Kingdom ,10/20/2015,8.3
91950,Park Lane Mews Hotel, Hong Kong ,11/15/2015,10.0
463811,The May Fair Hotel, Switzerland ,3/19/2017,10.0
235867,Club Quarters Hotel Gracechurch, United States of America ,8/22/2015,9.2
261658,DoubleTree by Hilton London West End, United Kingdom ,10/3/2016,7.5
263593,Holiday Inn London Kensington Forum, United Kingdom ,6/7/2016,9.6
439460,Capri by Fraser Barcelona, Romania ,9/26/2016,8.8
86749,DoubleTree by Hilton London Ealing, United Kingdom ,2/6/2017,7.5
183086,St James Court A Taj Hotel London, United Kingdom ,5/29/2017,8.8
261026,Rochester Champs Elysees, Saudi Arabia ,8/1/2016,6.3
461970,Park Hotel, United Kingdom ,9/5/2016,10.0
432968,Hotel Garbi Millenni, United Kingdom ,4/8/2017,10.0
364290,Corus Hotel Hyde Park, United Kingdom ,7/12/2016,8.8
314412,Petit Palace Museum, United Kingdom ,7/29/2017,9.2
339653,WestCord Fashion Hotel Amsterdam, Saudi Arabia ,7/2/2017,10.0
48167,Saint Georges Hotel, United Kingdom ,10/27/2015,6.7
283826,Megaro Hotel, United States of America ,9/8/2016,9.2
280856,Col n Hotel Barcelona, Bulgaria ,7/13/2016,10.0
364085,Corus Hotel Hyde Park, Oman ,2/2/2017,8.8
342818,Radisson Blu Style Hotel Vienna, Hungary ,10/29/2015,3.8
200540,Novotel London Wembley, United Kingdom ,1/5/2017,8.3
336345,Austria Trend Hotel Bosei Wien, United Kingdom ,8/19/2015,10.0
84770,Royal Garden Hotel, Thailand ,1/10/2017,9.2
508214,Hotel du Vin Cannizaro House Wimbledon, United Kingdom ,5/28/2017,9.6
220329,Hotel Eug ne en Ville, United States of America ,1/1/2016,7.1
476937,IH Hotels Milano Watt 13, Italy ,9/27/2016,7.5
463231,The Savoy, United Kingdom ,8/2/2016,9.6
84192,Mercure London Kensington Hotel, Italy ,8/23/2016,10.0
236223,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,5/8/2017,9.6
114975,Portobello House, United States of America ,6/9/2016,9.6
296182,Thistle Euston, Ireland ,2/16/2016,6.7
398835,Duquesa de Cardona, United Kingdom ,11/6/2016,7.1
188817,St George s Hotel Wembley, United Kingdom ,11/14/2016,10.0
357914,De Vere Devonport House, United Kingdom ,10/18/2016,10.0
208278,The Montcalm At Brewery London City, Netherlands ,7/7/2016,5.0
418980,art otel Amsterdam, United Kingdom ,2/10/2017,7.5
295487,Senator Barcelona Spa Hotel, United Kingdom ,6/29/2016,10.0
96247,citizenM London Bankside, United Kingdom ,5/16/2017,10.0
127023,Mercure Paris Arc de Triomphe Etoile, Australia ,9/4/2015,7.9
433052,Vincci Gala, France ,2/11/2017,9.2
291314,Amba Hotel Marble Arch, United Kingdom ,1/20/2016,10.0
62749,Hotel Indigo London Paddington, United States of America ,10/11/2015,10.0
80670,Radisson Blu Edwardian Sussex, United States of America ,1/4/2016,5.8
494419,Bianca Maria Palace Hotel, United Arab Emirates ,7/19/2017,7.9
303440,Palazzo Parigi Hotel Grand Spa Milano, Australia ,8/15/2016,10.0
406646,Rosa Grand Milano Starhotels Collezione, Oman ,5/25/2017,7.9
490383,TownHouse Galleria, United Arab Emirates ,5/15/2016,7.5
37314,Park International Hotel, Croatia ,11/5/2015,7.9
193858,The Marylebone Hotel, United Kingdom ,5/15/2016,8.8
218633,Hazlitt s, Australia ,1/5/2016,8.8
392164,DoubleTree by Hilton Amsterdam Centraal Station, Bulgaria ,1/17/2016,4.6
309865,Jaz Amsterdam, Slovakia ,7/14/2017,9.2
260790,Holiday Inn Paris Saint Germain des Pr s, United Kingdom ,6/28/2016,9.6
27432,The Grosvenor, United Kingdom ,6/1/2016,10.0
114141,Hilton London Metropole, United Kingdom ,1/16/2016,9.6
284392,Megaro Hotel, United Kingdom ,12/17/2015,7.9
13353,Hotel Scribe Paris Opera by Sofitel, United States of America ,11/11/2016,10.0
292441,Hotel Villa Emilia, Romania ,9/12/2015,9.2
510848,Hotel Prinz Eugen, Ukraine ,4/3/2017,8.3
473668,Andreola Central Hotel, Germany ,1/19/2017,10.0
222846,DoubleTree by Hilton London Islington, United States of America ,12/20/2016,9.6
409314,Starhotels Anderson, United States of America ,5/20/2016,10.0
20107,The Ampersand Hotel, Switzerland ,5/19/2017,8.3
335563,Pol Grace Hotel, United Kingdom ,7/29/2017,8.3
155088,Rafayel Hotel Spa, United Kingdom ,9/29/2016,4.2
91411,The Trafalgar Hilton, United States of America ,7/27/2016,6.3
475326,Hotel Magna Pars Small Luxury Hotels of the World, France ,12/29/2015,7.1
15868,Intercontinental London The O2, United Kingdom ,2/17/2016,9.6
39886,Arbor City, United Kingdom ,5/16/2016,7.9
416528,Barcel Sants, Puerto Rico ,5/12/2017,10.0
492602,Park Hyatt Milano, United Arab Emirates ,5/21/2016,10.0
377802,Hotel Corvinus, United States of America ,8/12/2015,10.0
177614,Mercure Paris Opera Garnier, United Kingdom ,4/22/2017,7.9
442856,Copthorne Tara Hotel London Kensington, United Kingdom ,2/10/2017,9.2
243171,Hotel Cavendish, Spain ,11/1/2015,5.8
388000,Apex City Of London Hotel, United Kingdom ,4/10/2017,9.6
28034,The Park Tower Knightsbridge a Luxury Collection Hotel, Qatar ,10/26/2016,9.2
458873,The Tower A Guoman Hotel, United Kingdom ,8/18/2016,8.3
272872,Element Amsterdam, United Kingdom ,2/8/2017,7.5
17367,Intercontinental London The O2, United Kingdom ,1/19/2016,10.0
155884,Norfolk Towers Paddington, United Arab Emirates ,1/25/2017,9.2
467346,Holiday Inn London Brent Cross, United Kingdom ,2/27/2016,8.3
125102,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,9/20/2016,2.5
429613,K West Hotel Spa, United Kingdom ,5/15/2017,4.2
334328,The Cumberland A Guoman Hotel, Saudi Arabia ,4/11/2016,10.0
182139,citizenM Tower of London, United Kingdom ,9/6/2016,10.0
255752,Best Western Plus Seraphine Hammersmith Hotel, United Kingdom ,1/16/2017,10.0
190170,The Justin James Hotel, United Kingdom ,7/12/2016,10.0
395459,Hampton by Hilton Amsterdam Centre East, Thailand ,1/13/2017,9.6
253130,The Hoxton Shoreditch, Germany ,10/10/2016,5.0
45468,The Chamberlain, United Kingdom ,7/24/2016,10.0
121912,The Nadler Kensington, United Kingdom ,1/25/2017,10.0
332933,Hotel Casa Bonay, South Africa ,7/13/2016,10.0
465393,Hotel City Central, United Kingdom ,8/4/2016,10.0
3638,The Park Grand London Paddington, Nigeria ,12/16/2015,10.0
306244,NH Collection Amsterdam Grand Hotel Krasnapolsky, United Kingdom ,7/9/2017,6.3
284174,Megaro Hotel, Hong Kong ,10/5/2016,9.2
111778,Landmark London, United Kingdom ,11/7/2016,10.0
196631,Le G n ral H tel, United Kingdom ,1/23/2017,10.0
78178,H tel Horset Op ra Best Western Premier Collection, Indonesia ,2/20/2017,10.0
266950,The Waldorf Hilton, United Kingdom ,6/7/2016,10.0
339909,WestCord Fashion Hotel Amsterdam, Ireland ,11/3/2016,7.9
404370,Hotel Principe Di Savoia, Japan ,7/10/2017,9.6
67914,Britannia International Hotel Canary Wharf, United Kingdom ,3/8/2016,10.0
475641,Hotel Auriga, Australia ,10/27/2015,10.0
391310,DoubleTree by Hilton Amsterdam Centraal Station, United Kingdom ,12/19/2016,10.0
241805,Grange Wellington Hotel, United States of America ,12/9/2016,9.6
451612,Hotel Esther a, United Kingdom ,5/3/2016,9.6
148742,Hotel Les Bulles De Paris, Iceland ,2/2/2016,9.2
196208,The Premier Notting Hill, United Kingdom ,9/20/2016,5.0
385682,NH Collection Amsterdam Doelen, United Arab Emirates ,5/15/2016,9.6
112621,Hilton London Metropole, United Kingdom ,5/17/2016,10.0
2079,The Park Grand London Paddington, United Kingdom ,5/8/2017,10.0
372058,Vincci Maritimo, Belgium ,11/2/2016,3.8
84481,Royal Garden Hotel, United Kingdom ,4/26/2016,10.0
328404,Ayre Hotel Gran V a, United Kingdom ,5/25/2016,10.0
403210,Catalonia Ramblas 4 Sup, Netherlands ,9/5/2015,10.0
93599,The Montcalm Marble Arch, Saint Kitts and Nevis ,3/24/2017,9.2
53997,The Goring, United Kingdom ,9/1/2015,10.0
203036,Holiday Inn Paris Gare de l Est, United Kingdom ,8/14/2016,10.0
81579,H tel Victor Hugo Paris Kl ber, United Kingdom ,2/25/2016,8.8
313963,Eurostars Cristal Palace, Saudi Arabia ,2/25/2017,2.5
490702,Hotel Spadari Al Duomo, United Kingdom ,3/8/2016,10.0
388092,Apex City Of London Hotel, Germany ,9/10/2016,8.3
196324,The Premier Notting Hill, Sweden ,5/24/2016,8.8
212393,H tel Du Jeu De Paume, Australia ,10/2/2016,8.3
143391,Rathbone, Canada ,4/27/2016,8.8
14597,Novotel London West, United Kingdom ,12/20/2015,6.3
139843,DoubleTree by Hilton London Westminster, Malaysia ,10/11/2016,7.1
427962,Lindner Hotel Am Belvedere, Hungary ,7/5/2016,9.6
238244,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,9/27/2016,8.8
38789,Best Western Mornington Hotel Hyde Park, Germany ,2/9/2016,7.5
176393,Holiday Inn London West, United Kingdom ,6/20/2017,10.0
262368,La Villa des Ternes, Lebanon ,4/11/2017,9.6
316775,Holiday Inn London Wembley, United Kingdom ,7/1/2017,8.3
267756,Corendon Vitality Hotel Amsterdam, Ireland ,10/4/2016,9.6
98017,Radisson Blu Edwardian Mercer Street, Australia ,7/16/2017,9.2
37001,Park International Hotel, Latvia ,4/11/2016,7.1
178013,Grand H tel Du Palais Royal, Belgium ,2/9/2016,10.0
377120,IntercityHotel Wien, Oman ,5/6/2017,9.2
468446,Imperial Riding School Renaissance Vienna Hotel, United States of America ,9/15/2015,8.3
275171,Novotel Wien City, India ,5/29/2016,9.6
50865,Best Western Premier Louvre Saint Honor , Nigeria ,10/1/2015,10.0
128770,Park Grand Paddington Court, United Kingdom ,7/3/2016,10.0
166470,Strand Palace Hotel, United Kingdom ,2/3/2017,6.3
398598,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel, Qatar ,8/8/2016,7.1
495225,Starhotels Tourist, South Africa ,6/30/2016,8.3
78309,Best Western Paris Gare Saint Lazare, Singapore ,7/8/2017,8.8
290913,Amba Hotel Marble Arch, Qatar ,11/12/2016,9.6
6817,Park Plaza County Hall London, United Kingdom ,10/24/2016,9.6
435324,Ayre Hotel Rosell n, Spain ,8/23/2016,10.0
112155,Hilton London Metropole, United Kingdom ,3/10/2017,8.8
283633,The Capital, United Kingdom ,1/14/2016,9.6
385609,NH Collection Amsterdam Doelen, Israel ,11/5/2016,9.6
117429,Sansi Diputacio, Israel ,4/14/2017,9.6
139155,Holiday Inn London Camden Lock, Norway ,8/2/2017,9.6
390683,Aloft London Excel, United Kingdom ,8/24/2016,9.6
241464,Mercure London Bridge, United States of America ,7/19/2016,9.2
194600,The Whitechapel, United Kingdom ,2/25/2016,7.5
